"charset","UTF-8",
"filename","TopoExportData-2017_08_24-15_52_10.csv",
"exporttime","08/24/2017 15:52:45",
"exportuser","admin",
"total","1490",



"class","parentdn","path","label","alias","dn","type","x","y","longitude","latitude","icon","background","category","memo",
"ne","NE=340","/Physical Root/EASY_DEPLOYMENT/LCAIN20187_Ahmed_Orabi_2/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=340,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA13065_Alex-Site_32","LALXA13065_Alex-Site_32","","NE=417","BTS3900 LTE","1151.0","265.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA33024_Miami_2_Gleem","LALXA33024_Miami_2_Gleem","","NE=418","BTS3900 LTE","1397.0","79.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","NE=373","/Physical Root/EASY_DEPLOYMENT/LALXA23030_Awaid_3/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=373,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
"ne","NE=373","/Physical Root/EASY_DEPLOYMENT/LALXA23030_Awaid_3/Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","","NE=373,eNodeBRRU=0_0_71","RRU","400.0","280.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0",
"ne","NE=373","/Physical Root/EASY_DEPLOYMENT/LALXA23030_Awaid_3/Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","","NE=373,eNodeBRRU=0_0_72","RRU","400.0","320.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0",
"ne","NE=373","/Physical Root/EASY_DEPLOYMENT/LALXA23030_Awaid_3/Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","","NE=373,eNodeBRRU=0_0_80","RRU","400.0","360.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0",
"ne","NE=373","/Physical Root/EASY_DEPLOYMENT/LALXA23030_Awaid_3/Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","","NE=373,eNodeBRRU=0_0_81","RRU","400.0","400.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0",
"ne","NE=373","/Physical Root/EASY_DEPLOYMENT/LALXA23030_Awaid_3/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=373,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","NE=418","/Physical Root/EASY_DEPLOYMENT/LALXA33024_Miami_2_Gleem/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=418,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
